longitude,latitude,created_at,tweet_id,text,score
-76.23190000,43.04840088,"2015-06-07 00:40:09",607346270789844992,"Been waiting a while for this one. Pretty much lives up to the hype. W... (Sip of Sunshine) http://t.co/OsD7JGHmke #photo",1.5242
-73.93553738,40.85063934,"2015-06-07 00:40:11",607346277697888256,"LMAOOOO WHY JUSTIN GOT JAXON SAYING 'Deez nuts gotti' LMAO WHY",0.7012
-76.62095700,39.28551865,"2015-06-07 00:40:11",607346279098761216,"PET/MRI Has Arrived But Where Do We Go From Here?",0.6256
-76.95432827,38.98607635,"2015-06-07 00:40:11",607346279195267072,"All done! Packing up my gear for a quick one hour solo flamenco guitar gig. #cordobaguitar #mogami https://t.co/AHPwpknyZb",1.3186
-73.12622400,41.27119827,"2015-06-07 00:40:11",607346280101257216,"Sweet 16 party for Taj! ....@trisherr14 #Tajsweet16 @ Courtyard by Marriott Shelton, Ct. https://t.co/aZMEAPOrhr",1.7277
-76.81094870,39.37091827,"2015-06-07 00:40:12",607346281539862528,"Mile 2 Arsenal 0 

#MoreThanArsenal",0.8302
-74.22318333,40.39395523,"2015-06-07 00:40:12",607346284937256960,"pnc is back for the summmaaa @ best summer yet https://t.co/EJxyV7xuoB",1.6079
-78.66248321,35.79064941,"2015-06-07 00:40:13",607346286086508545,"Looking forward to some more battles. @ Atlantic Beach, NC https://t.co/LJ2IOSzRgf",0.9985
-73.89199800,40.86130142,"2015-06-07 00:40:13",607346288154288128,"I'm at North End Wine and Liquor Store - @northendliquors in Bronx, NY https://t.co/XK2tRCccDK",1.1888
-76.23960969,39.55582809,"2015-06-07 00:40:14",607346293422342144,"@Jordansreality feel free 2 follow me tho",0.7081
-74.48170410,40.49112320,"2015-06-07 00:40:15",607346295649542144,"Baby Cle!!! cleo__x3
#dandg #showstoppaz #dg4l #ss4l #youthwhodance #dancer #dance #danceislife https://t.co/LPgsQRGsNW",1.1923
-76.54440000,38.41809845,"2015-06-07 00:40:15",607346297243320320,"A big shoutout and an even bigger congratulations to my cousin Stephanie and her newly wed husband https://t.co/GsrF9yGCYq",1.4732
-76.67035600,39.17948532,"2015-06-07 00:40:15",607346297444659200,"When boredom strikes while waiting for your luggage at the airport...#selfiesession #sillyfaces https://t.co/XxoI0mSwF0",0.6352
-77.28971860,39.24611664,"2015-06-07 00:40:16",607346298300284928,"We've got fire!  @ssmochamoms #TheMochaExperience @ Little Bennett Campground https://t.co/tTL6eBE237",0.9986
-71.96056400,41.04442978,"2015-06-07 00:40:17",607346304591765504,"#Montauk  iortizfreuler @magdacumlaude pwainstein @ Navy Beach https://t.co/xlh8sWm6jg",1.3532
-74.23038530,39.57353210,"2015-06-07 00:40:18",607346308219691008,"No complaints @ North Beach Haven LBI https://t.co/AQEkGBnHjr",0.8059
-85.66808630,42.96335983,"2015-06-07 00:40:18",607346308362280961,"Want to work at Soliant Health? We're #hiring in #GrandRapids, MI! Click for details: http://t.co/S260i17aVB #InternalMedicine #Job #Jobs",1.3632
-71.07186389,42.34384918,"2015-06-07 00:40:18",607346308555411456,"Boston Sunset  #Saturday #SouthEnd #Sunset @ South End, Boston https://t.co/ouxKxAyas5",1.2649
